0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
0013,0006,0016,0015,000A,0006,0016,0015,000A,0006,0016,0015,000A,0006,0016,0015,000A,0006,0016,0015,000A,0006,0016,0015,000A,0006,0016,0015,000A,0006,0016,0015,000A,0006,0016,0015,000A,0006,0016,0015,000A,000F,0000,0000,0000,0000,0000,0000,0000,0000,0000
0010,0073,0005,000A,0005,0016,0005,000A,0005,0016,0005,000A,0005,0016,0005,000A,0005,0016,0005,000A,0005,0016,0005,000A,0005,0016,0005,000A,0005,0016,0005,000A,0005,0016,0005,000A,0005,0016,0005,000A,0005,0016,0012,0000,0000,0000,0000,0000,0000,0000,0000
0080,0097,001B,0008,0009,0008,0009,0008,0009,0008,0009,0008,0009,0008,0009,0008,0009,0008,0009,0008,0009,0008,0009,0008,0009,0008,0009,0008,0009,0008,0009,0008,0009,0008,0009,0008,0009,0008,0009,0008,0009,0008,0009,000F,0000,0000,0000,0000,0000,0000,0000
000E,0018,0093,0042,0006,0016,000A,0007,0006,0016,000A,0007,0006,0016,000A,0007,0006,0016,000A,0007,0006,0016,000A,0007,0006,0016,000A,0007,0006,0016,000A,0007,0006,0016,000A,0007,0006,0016,000A,0007,0006,0016,000A,0007,0012,0000,0000,0000,0000,0000,0000
0013,001A,001B,0043,006F,0007,0006,0015,0016,0007,0006,0015,0016,0007,0006,0015,0016,0007,0006,0015,0016,0007,0006,0015,0016,0007,0006,0015,0016,0007,0006,0015,0016,0007,0006,0015,0016,0007,0006,0015,0016,0007,0006,0015,0016,000F,0000,0000,0000,0000,0000
0010,0073,0014,0021,0019,003F,0005,0016,0006,0008,0005,0016,0006,0008,0005,0016,0006,0008,0005,0016,0006,0008,0005,0016,0006,0008,0005,0016,0006,0008,0005,0016,0006,0008,0005,0016,0006,0008,0005,0016,0006,0008,0005,0016,0006,0008,0012,0000,0000,0000,0000
0080,0097,001B,0017,0044,006C,0090,03FD,00A5,0040,00FD,00A6,00A5,0040,008F,0007,0008,0016,0009,0007,0008,0016,0009,0007,0008,0016,0009,0007,0008,0016,01BB,011C,01D7,0016,0009,0007,0008,0016,0009,0007,0008,0016,0009,0007,0008,0016,0009,000F,0000,0000,0000
000E,0018,0093,0042,0011,0045,0069,000D,001F,000D,000D,000D,000C,000D,008D,008E,001C,001D,00A4,0281,0006,0005,000A,0007,001C,001D,0201,0007,0006,0005,0000,0000,0000,0000,000A,0007,0006,0005,000A,0007,0006,0005,000A,0007,0006,0005,000A,0007,0012,0000,0000
0013,001A,001B,0043,006F,0090,01B7,00CE,000D,000D,000D,000D,000D,001F,008D,008E,000D,000D,00CE,008D,008E,00A5,001C,0040,000D,000D,008D,008E,001C,00A5,0000,0000,0000,0000,0046,0040,001C,00A5,001C,0040,001C,00A5,001C,0040,001C,00A5,01A8,0040,001E,0000,0000
0010,0073,0014,0021,0019,003F,006C,000D,00CF,000D,000D,000D,000D,000D,008D,008E,000D,000C,000D,0259,008E,000D,000C,000D,000D,000D,008D,008E,000D,000D,00DC,0000,0000,0000,0046,000D,000C,000D,000D,000D,000D,000D,000C,000D,000D,000D,000D,00CF,0020,0000,0000
0080,0097,001B,0017,0044,006C,0090,000D,000C,000D,000D,000D,000D,000D,008D,008E,000D,000D,001F,008D,008E,000D,000D,001F,000D,000D,008D,008E,000D,000D,00DC,0000,0000,0000,0046,00CE,000D,001F,000D,000D,000D,000D,000D,001F,000D,000D,000C,000D,0020,0000,0000
000E,0018,0093,0042,0011,0045,0069,000D,000D,001F,000D,000D,000D,000D,008D,008E,000D,000D,000D,008D,008E,000D,000D,000D,000D,000D,008D,008E,000C,000D,00DC,0000,0000,0000,0046,000D,00CF,000D,000D,000D,00DC,00DC,000D,000D,000D,000D,000D,001F,0020,0000,0000
0013,001A,001B,0043,006F,0090,01B7,000D,000D,000D,000D,000D,000D,000C,008D,008E,000D,000D,000D,008D,008E,000D,000D,000D,000D,000D,008D,008E,000D,001F,00DC,0000,0000,0000,0046,000D,000D,000D,000C,000D,00DC,0000,0046,000D,000D,000D,000D,000D,0020,0000,0000
0010,0073,0014,0021,0019,03FE,0121,00DC,00DC,000D,000D,000D,000D,000D,0251,008E,000D,000D,000D,008D,008E,000D,000D,000D,000D,000D,008D,008E,000D,000D,000D,0046,0046,0046,0046,000D,000D,000D,000D,001F,00DC,0000,0046,000D,000D,000D,000D,000D,0020,0000,0000
0080,0097,001B,0017,0044,0000,0000,0000,0000,0000,00DC,000D,000D,000D,008D,008E,000D,000D,000D,008D,008E,000D,00CE,000D,000D,000D,008D,008E,000D,000D,000D,000D,000D,000D,000D,000C,000D,000D,000D,000D,00DC,0000,0046,000D,000D,000D,000C,000D,0020,0000,0000
